Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
CMCO,1.37B,1.78%,27.69M,28.34M
CMCSA,265.32B,1.57%,4.55B,4.59B
CMCT,133.64M,17.63%,2.81M,14.81M
CME,76.92B,1.37%,357.49M,358.15M
CMIIU,-,0.28%,4.80M,-
CMLF,774.32M,6.43%,33.21M,55.34M
CMLFU,-,0.00%,44.27M,-
CMLS,294.42M,1.10%,17.41M,20.42M
CMLTU,-,-,-,-
CMMB,206.94M,-,-,10.99M
CMPI,127.81M,2.55%,19.27M,21.58M
CMPS,1.48B,15.06%,9.89M,36.57M
CMRX,754.28M,4.02%,75.55M,80.20M
CMTL,672.03M,3.04%,25.37M,25.91M
CNCE,130.60M,5.01%,26.90M,33.89M
CNDT,1.57B,2.53%,202.65M,212.25M
CNET,66.70M,1.24%,25.40M,28.50M
CNEY,96.12M,0.49%,6.85M,14.81M
CNFR,27.71M,0.05%,5.36M,9.68M
CNSL,710.31M,4.79%,77.92M,78.03M
CNSP,48.19M,1.97%,14.99M,24.66M
CNST,1.63B,7.47%,47.18M,47.84M
CNTA
CNTB,1.13B,14.02%,5.42M,57.50M
CNTG,235.88M,3.07%,8.85M,18.05M
CNTY,398.68M,4.74%,26.99M,29.58M
CNXC,8.33B,1.35%,42.71M,51.16M
COCP,121.80M,0.82%,66.02M,71.25M
CODA,94.16M,6.07%,4.36M,10.77M
CODX,239.98M,17.27%,27.10M,28.66M
COGT,308.09M,4.34%,33.94M,34.88M
COHR,6.44B,8.15%,24.16M,24.39M
COHU,1.75B,2.50%,47.37M,48.43M
COIN,50.38B,3.09%,137.02M,209.29M
COLB,2.76B,2.42%,70.43M,70.87M
COLIU,-,0.00%,34.50M,-
COLL,845.56M,12.80%,33.83M,34.95M
COLM,6.64B,2.22%,37.63M,66.36M
COMM,4.47B,3.19%,199.34M,201.70M
COMS,168.80M,1.40%,43.23M,65.94M
COMT,-,-,-,-
CONE,8.64B,4.74%,121.88M,122.54M
CONN,760.47M,8.67%,15.47M,29.32M
CONX,928.32M,0.25%,75.01M,93.75M
CONXU,-,0.00%,69.16M,-
COOL,486.50M,0.32%,40.00M,50.00M
COOLU,-,0.00%,40.00M,-
COOP,2.86B,7.26%,72.90M,89.46M
CORE,2.01B,2.92%,44.12M,45.20M
CORT,2.63B,9.40%,105.16M,116.82M
COST,174.41B,0.96%,441.10M,443.04M
COUP,19.28B,10.55%,68.90M,72.86M
COVAU,-,-,-,-
COWN,1.11B,21.22%,25.40M,27.36M
CPARU,-,-,-,-
CPLP,234.47M,0.34%,15.60M,18.18M
CPOP,965.84M,-,-,18.09M
CPRT,31.80B,0.83%,210.96M,236.40M
CPRX,598.50M,9.61%,96.12M,103.81M
CPSH,123.83M,9.66%,9.66M,13.58M
CPSS,102.52M,0.86%,13.52M,22.74M
CRBP,227.60M,11.70%,123.76M,125.03M
CRCT,9.15B,11.11%,14.76M,207.31M
CRDF,249.72M,7.03%,36.93M,37.16M
CREE,11.16B,11.12%,114.90M,115.47M
CREG,58.14M,0.25%,2.61M,3.18M
CRESY,652.41M,0.94%,31.25M,52.70M
CREX,27.11M,4.68%,9.76M,11.32M
CRIS,732.33M,15.41%,85.83M,91.51M
CRMD,270.59M,6.74%,37.58M,38.05M
CRNC,4.11B,12.09%,37.69M,37.74M
CRNT,316.00M,1.28%,68.36M,82.58M
CRNX,749.00M,4.14%,32.18M,33.01M
CRON,3.10B,10.54%,195.94M,371.66M
CROX,7.63B,5.58%,63.70M,65.46M
CRSP,11.87B,5.10%,65.91M,75.00M
CRSR,3.02B,5.97%,88.39M,91.95M
CRTD,46.50M,10.83%,7.82M,9.84M
CRTO,2.73B,6.19%,57.61M,60.74M
CRTX,1.63B,17.98%,19.77M,29.55M
CRUS,4.84B,1.49%,57.13M,57.90M
CRVS,102.71M,3.40%,33.39M,34.52M
CRWD,56.71B,6.40%,196.34M,224.15M
CRZNU,-,-,-,-
CSCO,225.21B,0.86%,4.20B,4.22B
CSCW,95.80M,4.25%,41.94M,44.84M
CSGP,32.88B,0.28%,390.71M,391.58M
CSGS,1.55B,5.10%,31.82M,31.84M
CSII,1.71B,3.13%,38.96M,40.16M
CSIQ,2.62B,13.99%,46.02M,59.86M
CSOD,3.44B,3.18%,62.44M,65.40M
CSSE,586.01M,11.07%,6.03M,13.64M
CSTE,512.11M,1.77%,19.28M,34.44M
CSTL,1.78B,5.98%,22.48M,24.91M
CSX,73.35B,0.99%,2.27B,2.28B
CTAQU,-,0.00%,41.15M,-
CTAS,40.02B,1.15%,89.77M,105.26M
CTHR,90.20M,0.23%,25.91M,29.32M
CTIB,11.50M,0.43%,3.64M,5.86M
CTIC,240.71M,2.90%,69.48M,76.37M
CTLP,863.26M,1.59%,65.79M,67.11M
CTMX,418.02M,12.39%,53.88M,60.97M
CTRE,2.29B,2.40%,94.95M,95.38M
CTRM,233.91M,4.58%,70.63M,89.96M
CTSH,36.83B,1.49%,526.24M,530.00M
CTSO,326.63M,5.33%,39.63M,43.24M
CTXR,352.19M,12.38%,123.17M,135.47M
CTXS,14.58B,1.92%,123.27M,124.17M
CUE,385.06M,9.01%,29.66M,30.43M
CUEN,92.11M,0.27%,4.85M,6.24M
CURI,751.18M,16.51%,27.37M,48.07M
CUTR,878.55M,12.15%,17.32M,17.77M
CVAC,12.66B,3.57%,82.25M,177.97M
CVBF,2.81B,1.69%,128.18M,135.18M
CVCY,255.67M,3.04%,10.66M,12.50M
CVET,3.69B,4.92%,102.41M,136.00M
CVGI,339.59M,2.81%,26.75M,31.26M
CVLT,3.62B,2.74%,45.03M,46.88M
CVLY,202.13M,3.01%,9.54M,9.84M
CVRX
CVV,29.52M,0.47%,5.52M,6.68M
CWBR,85.31M,6.22%,48.20M,61.56M
CWCO,180.09M,4.26%,14.44M,15.20M
CWST,3.30B,2.27%,49.29M,51.18M
CXDC,41.59M,0.14%,34.67M,67.92M
CXDO,112.08M,5.12%,6.36M,18.19M
CXSE,-,-,-,-
CYAN,18.30M,0.02%,3.63M,6.10M
CYBE,299.45M,6.75%,7.03M,7.29M
CYBR,5.23B,6.22%,38.70M,39.17M
CYCC,54.99M,8.50%,7.67M,9.23M
CYCN,159.31M,13.42%,23.72M,34.08M
CYRN,55.61M,5.18%,38.02M,68.47M
CYRX,2.81B,8.65%,44.83M,45.68M
CYT,655.19M,-,32.95M,33.79M
CYTH,63.76M,2.32%,5.72M,6.36M
CYTK,1.51B,13.09%,66.00M,71.19M
CZR,21.48B,5.71%,198.98M,208.00M
DADA,6.52B,1.61%,230.13M,237.56M
DAKT,298.03M,4.30%,37.05M,45.23M
DARE,86.90M,2.67%,47.69M,49.35M
DAWN,1.40B,2.05%,38.82M,61.18M
DBDR,292.29M,-,-,9.67M
DBDRU
DBGI,52.04M,0.56%,5.17M,10.49M
DBTX,210.36M,5.97%,11.13M,12.11M
DBVT,624.71M,2.94%,61.82M,109.79M
DBX,12.12B,9.13%,302.97M,398.10M
DCOM,1.40B,4.07%,34.33M,41.58M
DCPH,2.15B,7.78%,40.91M,57.75M
DCRB,290.89M,4.31%,22.57M,28.22M
DCRBU,-,0.00%,22.57M,-
DCRC
DCRCU,-,-,-,-
DCRN
DCRNU,-,0.00%,40.21M,-
DCT,5.64B,5.67%,95.19M,130.79M
DCTH,92.98M,7.50%,6.35M,7.35M
DDMXU,-,-,-,-
DDOG,32.25B,7.40%,211.15M,306.03M
DENN,1.06B,3.48%,62.15M,65.25M
DFFN,73.20M,0.99%,101.72M,101.90M
DFH,2.23B,35.38%,4.62M,92.52M
DFPH
DGII,687.49M,1.57%,33.21M,34.03M
DGLY,90.71M,12.24%,48.64M,51.51M
DGNS,286.60M,0.36%,21.45M,35.25M
DGNU,516.50M,0.01%,40.00M,50.00M
DGRW,-,-,-,-
DHBCU,-,-,-,-
DHC,1.01B,3.23%,235.09M,237.83M
DHCAU,-,-,-,-
DHHCU,-,-,-,-
DIBS,1.04B,0.61%,28.25M,40.28M
DILAU
DIOD,3.53B,1.88%,43.05M,44.41M
DISAU,-,-,-,-
DISCA,15.36B,6.21%,479.47M,495.00M
DISCB
DISCK,-,3.26%,463.95M,-
DISH,22.38B,11.40%,248.08M,526.57M
DKDCU,-,-,-,-
DKNG,20.77B,7.67%,366.32M,397.62M
DLCAU,-,0.00%,18.66M,-
DLO
DLPN,65.66M,4.93%,5.91M,7.27M
DLTH,647.91M,7.32%,20.50M,32.54M
DLTR,23.17B,2.73%,228.96M,233.20M
DMAC,80.60M,1.10%,17.30M,18.77M
DMRC,563.35M,18.84%,12.73M,16.33M
DMTK,1.12B,30.19%,16.32M,27.15M
DNAA
DNAB
DNAC
DNAD
DNAY,559.62M,-,5.74M,28.15M
DNLI,9.48B,5.35%,100.81M,120.89M
DNUT,3.08B,-,0.01M,160.89M
DOCU,54.18B,4.12%,190.50M,194.34M
DOGZ,62.60M,1.58%,20.31M,25.91M
DOMO,2.54B,7.59%,27.12M,31.00M
DOX,10.35B,1.98%,125.53M,128.42M
DOYU,2.19B,2.61%,304.26M,323.50M
DRAYU
DRIO,324.36M,7.27%,13.62M,14.03M
DRIV,-,-,-,-
DRNA,2.90B,7.02%,70.53M,76.26M
DRRX,366.10M,4.29%,208.76M,217.54M
DRTT,360.80M,2.44%,36.71M,84.69M
DRVN,5.10B,4.71%,41.48M,154.83M
DSACU
DSEY,5.37B,0.32%,292.37M,304.01M
DSGN,1.11B,-,-,17.63M
DSKE,450.51M,5.51%,42.14M,65.08M
DSP,1.66B,14.31%,9.49M,58.94M
DSPG,350.62M,3.68%,22.32M,24.06M
DTEA,111.19M,0.64%,14.21M,26.30M
DTIL,727.76M,10.78%,50.80M,56.62M
DTOCU,-,0.03%,18.53M,-
DTSS,50.90M,0.47%,6.47M,21.47M
DUNE,210.70M,0.13%,17.25M,21.56M
DUO,256.30M,0.27%,52.13M,79.85M
DVAX,1.17B,16.62%,105.57M,112.03M
DVY,-,-,-,-
DWSN,61.70M,0.70%,21.79M,23.48M
DXCM,41.28B,3.97%,96.19M,96.30M
DXYN,54.40M,0.84%,13.05M,15.09M
DYAI,100.00M,6.14%,19.34M,27.53M
DYN,1.10B,10.49%,17.58M,49.47M
DYNS,235.97M,-,-,23.72M
DYNT,20.70M,1.21%,13.19M,15.83M
DZSI,561.80M,1.62%,16.67M,25.25M
EA,40.61B,1.91%,284.24M,289.00M
EACPU,-,0.02%,26.25M,-
EAR,1.50B,8.58%,33.77M,38.28M
EARS,45.90M,0.55%,12.14M,12.87M
EAST,34.90M,0.99%,10.73M,11.09M
EBACU,-,-,-,-
EBAY,47.55B,4.00%,656.39M,681.00M
EBC,3.80B,2.28%,170.28M,172.05M
EBET,290.23M,2.27%,7.36M,13.90M
EBIX,1.04B,17.00%,23.62M,30.56M
EBON,399.53M,9.38%,129.34M,139.21M
EBSB,1.08B,2.05%,47.51M,50.24M
ECOL,1.19B,2.10%,30.94M,31.10M
ECOR,57.30M,3.86%,17.87M,47.65M
ECPG,1.49B,12.82%,29.65M,31.47M
EDAP,203.41M,1.49%,12.42M,29.19M
EDIT,3.84B,15.51%,66.83M,67.83M
EDOC,-,-,-,-
EDRY,64.17M,0.77%,1.27M,2.29M
EDSA,70.48M,0.38%,8.90M,11.64M
EDTK,25.71M,0.83%,7.05M,10.00M
EDTXU,117.47M,0.00%,8.62M,14.38M
EDU,13.39B,4.79%,1.55B,1.69B
EEFT,7.26B,2.15%,50.49M,52.76M
EEIQ,43.01M,-,-,8.69M
EEMA,-,-,-,-
EFOI,19.80M,7.63%,3.20M,3.61M
EGAN,362.95M,4.86%,20.69M,31.07M
EGLE,604.20M,9.08%,10.95M,11.73M
EGLX,784.79M,0.44%,90.50M,124.77M
EH,2.24B,25.50%,24.58M,54.81M
EHTH,1.55B,8.16%,24.98M,26.62M
EIGR,296.06M,2.77%,33.40M,33.89M
EJFAU,-,-,-,-
EJH,849.95M,0.23%,11.68M,32.11M
EKSO,70.01M,1.43%,11.14M,12.65M
ELDN,109.91M,1.27%,12.98M,14.83M
ELEV
ELMS,337.23M,9.83%,25.37M,31.99M
ELOX,172.29M,6.54%,34.71M,40.18M
ELSE,17.01M,2.37%,2.23M,3.40M
ELTK,34.82M,0.18%,1.56M,5.84M
ELYS,89.99M,0.61%,14.11M,21.51M
EM,1.50B,0.28%,44.36M,257.56M
EMB,-,-,-,-
EMKR,352.21M,2.38%,25.56M,32.97M
EMXC,-,-,-,-
ENDP,1.11B,10.02%,229.71M,230.55M
ENFA
ENFAU,-,0.00%,29.53M,-
ENG,108.92M,6.27%,21.73M,27.56M
ENLV,162.87M,1.09%,12.38M,16.48M
ENNV
ENNVU,-,0.05%,5.96M,-
ENOB,260.78M,9.08%,19.85M,46.78M
ENPH,24.85B,3.70%,127.21M,131.30M
ENTG,16.06B,1.23%,134.41M,135.07M
ENTX,149.61M,0.42%,16.72M,21.89M
ENVB,49.21M,3.44%,15.93M,16.22M
ENVIU,-,0.00%,18.85M,-
EOLS,739.77M,8.43%,33.58M,37.10M
EOSE,925.75M,14.80%,41.09M,51.13M
EPAY,1.71B,3.06%,44.27M,45.39M
EPHYU,-,-,-,-
EPIX,1.16B,3.88%,20.90M,36.48M
EPZM,862.70M,15.37%,79.05M,101.79M
EQ,167.90M,5.80%,13.65M,27.32M
EQIX,71.45B,1.27%,89.23M,89.33M
EQOS,231.24M,3.86%,27.10M,38.80M
ERES
ERESU,-,0.00%,31.71M,-
ERIC,42.42B,0.13%,3.00B,3.33B
ERII,1.27B,5.97%,41.82M,56.88M
ESEA,152.22M,3.49%,2.89M,6.71M
ESGD,-,-,-,-
ESGE,-,-,-,-
ESGU,-,-,-,-
ESPR,602.41M,34.11%,26.23M,28.19M
ESSA,173.54M,2.75%,9.05M,10.03M
ESSC
ESXB,252.88M,3.10%,21.47M,22.20M
ETAC,743.05M,0.22%,46.20M,76.20M
ETACU,-,0.00%,61.20M,-
ETNB,372.69M,7.18%,19.82M,20.01M
ETON,153.38M,8.92%,20.15M,24.45M
ETSY,25.36B,6.50%,126.24M,127.10M
ETTX,122.51M,2.86%,11.45M,37.08M
EUCRU,-,0.01%,9.84M,-
EUFN,-,-,-,-
EUSGU,-,-,-,-
EVAX,142.62M,0.05%,9.35M,17.80M
EVBG,5.11B,11.26%,33.84M,36.39M
EVCM,3.32B,-,7.02M,192.48M
EVER,944.64M,8.20%,17.68M,28.43M
EVFM,113.10M,30.72%,81.07M,81.84M
EVGN,135.41M,2.27%,36.11M,38.96M
EVGO,412.83M,15.47%,16.91M,28.75M
EVK,42.81M,6.83%,3.98M,14.81M
EVLO,734.99M,5.07%,50.05M,51.34M
EVOJU,-,0.00%,12.48M,-
EVOK,42.71M,2.76%,29.68M,31.16M
EVOL,27.91M,2.31%,8.97M,12.21M
EVOP,2.25B,2.90%,42.22M,46.51M
EWBC,10.27B,1.04%,140.76M,141.65M
EWTX,1.02B,9.96%,13.11M,49.25M
EXAS,21.28B,5.50%,169.99M,171.55M
EXC,43.95B,1.35%,974.69M,977.00M
EXEL,5.84B,3.73%,306.58M,312.47M
EXFO,340.38M,0.02%,21.32M,55.94M
EXPD,21.50B,2.20%,167.82M,169.21M
EXPE,24.55B,9.70%,134.74M,145.18M
EXPI,5.73B,9.60%,65.30M,144.35M
EXPO,4.73B,1.96%,51.50M,52.54M
EXTR,1.45B,5.97%,123.48M,124.79M
EYE,4.17B,7.54%,79.39M,81.33M
EYEG,26.50M,0.08%,6.83M,6.95M
EYEN,126.70M,0.84%,16.50M,25.33M
EYES,180.10M,16.37%,17.96M,23.54M
EYPT,257.19M,5.76%,19.86M,24.73M
EZGO,55.18M,1.35%,6.17M,13.90M
EZPW,344.63M,11.42%,50.61M,55.66M
FA
FALN,-,-,-,-
FAMI,84.27M,18.17%,17.53M,189.55M
FANG,18.03B,1.88%,169.26M,180.98M
FANH,809.38M,4.78%,53.19M,53.70M
FARM,225.44M,3.73%,15.40M,17.76M
FAST,29.90B,2.69%,572.45M,574.34M
FAT,172.90M,0.57%,3.78M,11.97M
FATE,8.87B,12.76%,92.41M,93.43M
FB,1004.86B,1.11%,2.38B,2.85B
FBIO,360.11M,1.65%,67.64M,80.85M
FBIZ,241.01M,3.53%,8.15M,8.43M
FBNC,1.17B,5.21%,27.84M,28.36M
FBRX,472.42M,9.38%,9.78M,13.25M
FCA,-,-,-,-
FCCY,215.64M,2.78%,8.96M,10.26M
FCEL,2.77B,14.52%,309.23M,322.50M
FCFS,3.17B,2.44%,39.91M,41.03M
FCVT,-,-,-,-
FDMT,644.26M,4.90%,20.52M,26.69M
FEM,-,-,-,-
FEMY,95.88M,-,5.72M,13.01M
FENC,190.08M,6.59%,21.60M,26.00M
FEP,-,-,-,-
FEYE,4.81B,7.80%,233.34M,234.74M
FFBC,2.31B,2.08%,95.28M,96.87M
FFHL,44.52M,1.04%,1.13M,3.27M
FFIC,665.49M,1.03%,29.48M,31.60M
FFIN,7.04B,4.41%,136.33M,142.15M
FFIV,11.25B,4.58%,59.37M,60.67M
FGEN,2.44B,10.09%,84.53M,91.69M
FGF,45.84M,1.93%,3.41M,4.99M
FHB,3.82B,3.01%,129.52M,129.93M
FHTX,392.42M,2.77%,29.71M,36.82M
FICVU
FINMU,-,0.00%,42.48M,-
FISV,72.24B,1.72%,600.88M,668.60M
FITB,27.27B,1.28%,693.40M,714.43M
FIVE,11.00B,5.17%,54.69M,55.97M
FIVN,12.39B,4.52%,66.42M,66.72M
FIXD,-,-,-,-
FIXX,425.27M,6.36%,49.66M,50.36M
FIZZ,4.28B,30.73%,18.01M,93.30M
FLACU,-,-,-,-
FLDM,458.79M,10.23%,74.01M,74.71M
FLEX,8.69B,1.77%,485.04M,496.00M
FLGC,157.19M,0.25%,33.31M,42.37M
FLGT,2.54B,30.09%,19.08M,28.83M
FLIC,507.05M,1.18%,22.60M,23.78M
FLL,345.15M,1.82%,29.92M,34.11M
FLMN,448.29M,1.48%,38.98M,46.12M
FLNT,219.01M,5.21%,40.63M,81.89M
FLUX,149.99M,9.17%,8.53M,12.50M
FLWS,2.21B,22.94%,24.66M,64.89M
FLXN,409.53M,13.81%,47.16M,49.84M
FLYW,3.58B,0.93%,72.97M,101.99M
FMAO,245.34M,3.45%,10.08M,11.11M
FMBI,2.27B,1.93%,112.93M,113.10M
FMIVU,-,-,-,-
FMTX,1.19B,6.57%,43.52M,47.30M
FNCB,146.76M,2.59%,16.89M,20.24M
FNCH,695.65M,0.85%,24.07M,47.23M
FNHC,70.91M,3.03%,13.11M,14.39M
FNKO,1.06B,18.10%,21.01M,36.19M
FNWB,179.00M,3.51%,8.11M,9.09M
FOCS,3.62B,5.40%,43.82M,52.20M
FOLD,2.63B,11.81%,241.80M,264.37M
FORA,414.29M,0.75%,19.13M,24.03M
FORD,29.70M,3.30%,6.61M,9.91M
FORE,391.45M,0.93%,23.04M,39.54M
FOREU,-,0.00%,31.12M,-
FORM,2.85B,1.76%,76.97M,77.60M
FOSL,755.23M,9.53%,47.22M,51.52M
FOX,20.76B,0.33%,470.25M,586.91M
FOXA,21.28B,2.25%,471.04M,589.00M
FOXF,6.56B,3.83%,41.84M,41.85M
FOXWU,-,0.01%,5.64M,-
FPAY,62.41M,0.21%,15.25M,21.37M
FPXI,-,-,-,-
FRBK,234.29M,13.29%,47.65M,58.86M
FREE,551.46M,6.65%,35.20M,38.43M
FREQ,316.49M,21.43%,27.89M,34.12M
FRG,1.46B,2.87%,26.94M,40.11M
FRGI,395.47M,4.84%,25.28M,25.32M
FRHC,3.90B,6.34%,16.86M,58.44M
FRLN,294.31M,0.40%,12.37M,35.85M
FROG,4.38B,7.31%,61.94M,91.88M
FRONU,-,-,-,-
FRPT,7.01B,4.60%,41.89M,43.27M
FRSGU,-,-,-,-
FRSX,259.74M,6.55%,57.26M,64.45M
FRTA,1.56B,7.84%,29.98M,66.24M
FRWAU,-,0.03%,20.46M,-
FSBC
FSII,257.34M,0.02%,15.70M,25.76M
FSLR,9.59B,7.80%,93.63M,106.09M
FSRXU,-,0.01%,30.00M,-
FSSI,250.99M,0.42%,3.85M,25.88M
FSSIU,-,0.42%,3.85M,-
FSTR,200.86M,2.94%,9.89M,10.58M
FSTX,163.12M,0.51%,12.48M,19.37M
FTAAU,-,0.06%,17.55M,-
FTCI,1.12B,12.30%,21.95M,87.68M
FTCS,-,-,-,-
FTCV,425.29M,8.35%,25.00M,34.19M
FTCVU,-,0.01%,18.08M,-
FTDR,4.27B,2.64%,85.48M,85.69M
FTEK,70.79M,4.45%,23.48M,27.51M
FTFT,224.49M,9.79%,34.18M,40.04M
FTGC,-,-,-,-
FTHM,504.86M,18.11%,5.19M,13.45M
FTNT,39.58B,1.67%,133.52M,163.00M
FTPAU,-,-,-,-
FTSL,-,-,-,-
FTSM,-,-,-,-
FTVIU
FTXR,-,-,-,-
FUBO,4.35B,18.06%,127.21M,144.67M
FULC,335.87M,2.29%,28.92M,31.51M
FULT,2.58B,2.51%,161.16M,162.44M
FULTP
FUSN,340.91M,0.72%,33.07M,41.78M
FUTU,23.63B,5.19%,53.39M,142.33M
FUV,556.75M,33.32%,26.93M,35.33M
FV,-,-,-,-
FVAM,106.99M,0.02%,6.56M,10.69M
FVCB,238.46M,3.08%,10.97M,13.58M
FVE,185.89M,5.82%,10.57M,31.53M
FWAA,528.24M,0.11%,34.50M,43.23M
FWAC
FWONK,10.20B,-,-,203.57M
FWP,56.88M,1.58%,0.48M,6.92M
FYBR,2.82B,0.80%,89.59M,100.66M
GACQU,-,-,-,-
GAIA,211.76M,9.48%,12.14M,19.20M
GALT,189.41M,11.04%,41.47M,57.13M
GAMCU,-,-,-,-
GAME,168.95M,-,13.53M,13.95M
GAN,703.24M,7.54%,36.44M,41.99M
GANX,121.92M,0.50%,8.76M,11.88M
GASS,107.89M,0.02%,29.54M,37.86M
GBCI,5.34B,2.53%,94.98M,95.47M
GBDC,2.62B,-,-,167.26M
GBIO,1.55B,10.68%,51.71M,55.37M
GBLI,396.05M,0.08%,7.89M,14.38M
GBOX,506.19M,10.09%,18.84M,34.92M
GBRGU,-,0.00%,5.03M,-
GBS,45.59M,12.08%,6.57M,11.80M
GBT,2.33B,20.81%,55.70M,62.10M
GCACU,-,0.00%,16.50M,-
GCMG
GDEN,1.28B,3.36%,18.22M,28.22M
GDRX,13.60B,26.71%,63.16M,406.17M
GDS,14.81B,7.30%,180.34M,180.72M
GDYN,1.02B,5.49%,26.80M,51.63M
GEG,63.00M,0.11%,24.51M,25.76M
GENC,174.37M,2.89%,10.38M,14.61M
GENE,60.82M,9.39%,11.79M,13.64M
GEO,886.82M,28.41%,118.35M,120.02M
GEOS,113.22M,1.19%,12.84M,13.47M
GERN,468.30M,8.03%,318.02M,323.64M
GEVO,1.46B,10.81%,188.44M,198.15M
GGAL,1.81B,0.93%,90.03M,147.47M
GGGVU
GGMCU,-,0.02%,28.11M,-
GGPIU,-,-,-,-
GH,12.83B,3.93%,96.67M,100.95M
GHACU,-,0.01%,2.91M,-
GHRS
GHSI,42.00M,2.14%,22.84M,24.43M
GHVI,535.44M,4.53%,30.63M,34.50M
GHVIU
GIG
GIGGU,-,0.00%,44.89M,-
GIGM,32.39M,2.29%,6.23M,11.05M
GIII,1.58B,9.85%,42.29M,48.38M
GIIXU,-,0.01%,35.42M,-
GILD,86.70B,1.92%,1.25B,1.26B
GILT,578.09M,1.81%,35.11M,56.03M
GIWWU
GLAQU,-,0.00%,9.23M,-
GLBE,8.07B,0.32%,107.38M,148.91M
GLBLU,-,-,-,-
GLBS,40.82M,6.95%,10.39M,10.77M
GLDD,959.73M,1.79%,64.07M,65.27M
GLG,95.89M,0.06%,69.55M,93.21M
GLHAU
GLNG,1.48B,4.80%,92.98M,109.98M
GLPG,4.52B,1.93%,43.16M,65.52M
GLPI,10.72B,1.16%,219.89M,232.78M
GLRE,318.23M,6.69%,26.94M,34.52M
GLSI,566.33M,3.61%,3.30M,12.80M
GLSPU,169.71M,0.01%,9.21M,16.77M
GLTO,126.30M,1.20%,22.38M,25.26M
GLUE
GLYC,119.11M,4.85%,50.42M,50.70M
GMAB,27.19B,0.14%,646.73M,653.40M
GMBL,216.78M,9.45%,14.80M,16.95M
GMBTU,-,-,-,-
GMDA,380.02M,3.84%,42.19M,60.01M
GMII
GMIIU,-,0.00%,44.80M,-
GMTX,272.12M,5.20%,21.97M,32.03M
GMVD
GNACU,-,-,-,-
GNCA,126.81M,3.15%,49.61M,66.16M
GNFT,178.43M,0.02%,43.73M,45.75M
GNLN,79.89M,17.71%,16.45M,16.93M
GNOG,947.66M,5.42%,41.20M,46.57M
GNPX,159.08M,8.76%,42.37M,45.55M
GNSS,193.63M,3.51%,33.03M,33.68M
GNTX,8.12B,1.50%,240.91M,241.54M
GNUS,535.39M,14.53%,286.24M,287.22M
GO,3.28B,7.19%,87.24M,95.19M
GOBI
GOCO,3.53B,6.86%,58.91M,321.12M
GOEV,2.25B,28.55%,99.07M,247.70M
GOGL,2.14B,0.57%,122.77M,197.71M
GOGO,1.25B,18.09%,79.22M,84.65M
GOOG,1767.22B,0.54%,583.50M,686.47M
GOOGL,1666.55B,0.45%,604.48M,673.22M
GOSS,636.87M,15.63%,67.29M,74.09M
GOVX,30.50M,4.48%,6.07M,6.33M
GP,384.63M,5.31%,14.06M,20.89M
GPACU,-,0.01%,27.84M,-
GPRE,1.53B,21.33%,42.51M,48.20M
GPRO,1.75B,14.62%,123.36M,152.18M
GRAY,108.90M,10.57%,18.85M,21.02M
GRBK,1.18B,2.99%,48.35M,50.63M
GRCL,839.40M,6.79%,13.31M,69.20M
GRCYU
GRFS,11.73B,-,-,678.54M
GRIL,19.90M,1.41%,10.08M,14.87M
GRMN,28.07B,1.26%,151.80M,191.90M
GRNQ,90.20M,0.92%,23.31M,61.80M
GRNV,34.20M,2.47%,1.28M,7.19M
GROM,19.10M,0.00%,4.63M,5.93M
GROW,93.42M,3.01%,12.37M,15.06M
GRPH
GRPN,1.29B,13.72%,23.36M,29.03M
GRSV,672.05M,0.40%,52.50M,65.62M
GRSVU,-,0.00%,45.61M,-
GRTS,444.73M,9.63%,47.33M,49.20M
GRTX,254.80M,2.22%,22.09M,24.99M
GRUB,19.49B,-,632.31M,1.06B
GRVI,82.81M,-,5.76M,13.62M
GRWG,2.92B,5.03%,49.10M,58.39M
GSAQU,-,0.00%,25.62M,-
GSEVU,-,0.01%,39.74M,-
GSHD,4.69B,4.96%,17.60M,18.38M
GSIT,132.11M,3.25%,16.53M,23.91M
GSKY,1.02B,5.91%,68.55M,71.86M
GSM,1.14B,1.95%,95.79M,169.29M
GSMG,166.21M,0.25%,19.33M,53.84M
GT,4.86B,3.92%,234.00M,235.00M
GTBP,322.39M,11.95%,11.00M,16.24M
GTEC,89.80M,2.46%,2.18M,10.33M
GTH,1.80B,1.69%,27.26M,91.62M
GTHX,945.50M,15.65%,38.29M,40.70M
GTIM,50.91M,0.44%,9.30M,12.66M
GTPAU
GTPBU
GTT,139.40M,20.64%,45.75M,58.82M
GTX,502.69M,2.64%,51.91M,75.91M
GTYH,404.23M,3.85%,46.54M,55.83M
GURE,64.72M,0.27%,6.58M,10.00M
GVP,33.80M,0.67%,15.93M,20.63M
GWAC,213.53M,2.89%,18.04M,21.48M
GXGX,366.02M,2.42%,25.57M,28.75M
GXIIU,-,-,-,-
HA,1.27B,9.25%,50.03M,51.11M
HAAC,551.75M,0.41%,49.88M,52.50M
HAACU,-,0.00%,48.50M,-
HAFC,589.62M,1.45%,30.32M,30.46M
HAIN,4.00B,5.34%,99.24M,99.83M
HALL,80.52M,0.50%,16.72M,18.14M
HALO,6.60B,4.59%,140.91M,142.39M
HAPP,40.90M,1.11%,12.68M,25.04M
HARP,455.36M,3.87%,29.98M,31.58M
HAS,13.12B,2.97%,126.51M,137.70M
